pattern,pattern_category,task_id,repeat_index,turn_pair,similarity,converged_at
rr2,A,tech_04,0,0,0.1783783783783784,
rr2,A,tech_04,1,0,0.20512820512820512,
rr2,A,tech_04,2,0,0.12264150943396226,
rr2,A,tech_05,0,0,0.211340206185567,
rr3,A,fact_01,0,0,0.2982456140350877,
rr3,A,fact_01,0,1,0.12307692307692308,
rr3,A,fact_01,1,0,0.0,
rr3,A,fact_01,1,1,0.11347517730496454,
rr3,A,fact_01,1,2,0.15853658536585366,
rr3,A,fact_01,1,3,0.20105820105820105,
rr3,A,fact_01,1,4,0.12121212121212122,
rr3,A,fact_01,2,0,0.012396694214876033,
rr3,A,fact_01,2,1,0.10884353741496598,
rr3,A,fact_02,0,0,0.017482517482517484,
rr3,A,fact_02,0,1,0.04597701149425287,
rr3,A,fact_02,1,0,0.0,
rr3,A,fact_02,1,1,0.0763888888888889,
rr3,A,fact_02,1,2,0.09345794392523364,
rr3,A,fact_02,1,3,0.16730038022813687,
rr3,A,fact_02,1,4,0.030434782608695653,
rr3,A,fact_02,2,0,0.16271186440677965,
rr3,A,fact_02,2,1,0.1,
rr3,A,fact_03,0,0,0.05154639175257732,
rr3,A,fact_03,0,1,0.11377245508982035,
rr3,A,fact_03,0,2,0.1686746987951807,
rr3,A,fact_03,0,3,0.125,
rr3,A,fact_03,0,4,0.10526315789473684,
rr3,A,fact_03,1,0,0.07303370786516854,
rr3,A,fact_03,1,1,0.13194444444444445,
rr3,A,fact_03,2,0,0.05056179775280899,
rr3,A,fact_03,2,1,0.1125,
rr3,A,fact_04,0,0,0.4068627450980392,
rr3,A,fact_04,0,1,0.1469387755102041,
rr3,A,fact_04,1,0,0.02666666666666667,
rr3,A,fact_04,1,1,0.14285714285714285,
rr3,A,fact_04,2,0,0.2876712328767123,
rr3,A,fact_04,2,1,0.1509433962264151,
rr3,A,fact_04,2,2,0.199203187250996,
rr3,A,fact_04,2,3,0.014134275618374558,
rr3,A,fact_04,2,4,0.023972602739726026,
rr3,A,fact_05,0,0,0.03482587064676617,
rr3,A,fact_05,0,1,0.09210526315789473,
rr3,A,fact_05,1,0,0.026881720430107527,
rr3,A,fact_05,1,1,0.0759493670886076,
rr3,A,fact_05,2,0,0.03482587064676617,
rr3,A,fact_05,2,1,0.07482993197278912,
rr3,A,crea_01,0,0,0.1524822695035461,
rr3,A,crea_01,0,1,0.16312056737588654,
rr3,A,crea_01,1,0,0.010752688172043012,
rr3,A,crea_01,1,1,0.09289617486338798,
rr3,A,crea_02,0,0,0.007722007722007722,
rr3,A,crea_02,0,1,0.0547945205479452,
rr3,A,crea_02,0,2,0.09090909090909091,
rr3,A,crea_02,0,3,0.1752988047808765,
rr3,A,crea_02,0,4,0.1148936170212766,
rr3,A,crea_02,1,0,0.012145748987854251,
rr3,A,crea_02,1,1,0.1,
rr3,A,crea_02,2,0,0.025830258302583026,
rr3,A,crea_02,2,1,0.05303030303030303,
rr3,A,crea_03,0,0,0.013605442176870748,
rr3,A,crea_03,0,1,0.09497206703910614,
rr3,A,crea_03,1,0,0.015432098765432098,
rr3,A,crea_03,1,1,0.09205020920502092,
rr3,A,crea_03,2,0,0.016181229773462782,
rr3,A,crea_03,2,1,0.08035714285714286,
rr3,A,crea_04,0,0,0.15942028985507245,
rr3,A,crea_04,0,1,0.13523131672597866,
rr3,A,crea_04,2,0,0.009966777408637873,
rr3,A,crea_04,2,1,0.11956521739130435,
rr3,A,crea_05,0,0,0.020242914979757085,
rr3,A,crea_05,0,1,0.1292517006802721,
rr3,A,crea_05,0,2,0.14507772020725387,
rr3,A,crea_05,0,3,0.11538461538461539,
rr3,A,crea_05,0,4,0.16205533596837945,
rr3,A,crea_05,1,0,0.025735294117647058,
rr3,A,crea_05,1,1,0.13953488372093023,
rr3,A,crea_05,1,2,0.11764705882352941,
rr3,A,crea_05,1,3,0.16810344827586207,
rr3,A,crea_05,1,4,0.16226415094339622,
rr3,A,anal_01,0,0,0.12589928057553956,
rr3,A,anal_01,0,1,0.13937282229965156,
rr3,A,anal_01,2,0,0.0,
rr3,A,anal_01,2,1,0.08904109589041095,
rr3,A,anal_02,2,0,0.0033444816053511705,
rr3,A,anal_02,2,1,0.052884615384615384,
rr3,A,anal_03,0,0,0.21532846715328466,
rr3,A,anal_03,0,1,0.1413793103448276,
rr3,A,anal_03,1,0,0.03558718861209965,
rr3,A,anal_03,1,1,0.18099547511312217,
rr3,A,anal_03,1,2,0.1506849315068493,
rr3,A,anal_03,1,3,0.075,
rr3,A,anal_03,1,4,0.20444444444444446,
rr3,A,anal_03,2,0,0.3237704918032787,
rr3,A,anal_03,2,1,0.14015151515151514,
rr3,A,anal_04,0,0,0.0165016501650165,
rr3,A,anal_04,0,1,0.09734513274336283,
rr3,A,anal_04,1,0,0.17692307692307693,
rr3,A,anal_04,1,1,0.22448979591836735,
rr3,A,anal_04,2,0,0.016339869281045753,
rr3,A,anal_04,2,1,0.09251101321585903,
rr3,A,anal_05,0,0,0.024793388429752067,
rr3,A,anal_05,0,1,0.07272727272727272,
rr3,A,anal_05,1,0,0.03745318352059925,
rr3,A,anal_05,1,1,0.13135593220338984,
rr3,A,anal_05,2,0,0.014285714285714285,
rr3,A,anal_05,2,1,0.10138248847926268,
rr3,A,tech_02,0,0,0.13966480446927373,
rr3,A,tech_02,0,1,0.09433962264150944,
rr3,A,tech_02,1,0,0.11578947368421053,
rr3,A,tech_02,1,1,0.08045977011494253,
rr3,A,tech_03,0,0,0.2074074074074074,
rr3,A,tech_03,0,1,0.16875,
rr3,A,tech_03,1,0,0.17880794701986755,
rr3,A,tech_03,1,1,0.12849162011173185,
rr3,A,tech_03,2,0,0.12269938650306748,
rr3,A,tech_03,2,1,0.0898876404494382,
rr3,A,tech_04,0,0,0.1761006289308176,
rr3,A,tech_04,0,1,0.21019108280254778,
rr3,A,tech_04,1,0,0.1610738255033557,
rr3,A,tech_04,1,1,0.11363636363636363,
rr4,A,fact_01,0,0,0.004608294930875576,
rr4,A,fact_01,0,1,0.12777777777777777,
rr4,A,fact_01,0,2,0.13333333333333333,
rr4,A,fact_01,1,0,0.005208333333333333,
rr4,A,fact_01,1,1,0.09467455621301775,
rr4,A,fact_01,1,2,0.07296137339055794,
rr4,A,fact_01,2,0,0.0,
rr4,A,fact_01,2,1,0.11707317073170732,
rr4,A,fact_01,2,2,0.09565217391304348,
rr4,A,fact_02,0,0,0.0,
rr4,A,fact_02,0,1,0.09811320754716982,
rr4,A,fact_02,0,2,0.046357615894039736,
rr4,A,fact_02,1,0,0.017316017316017316,
rr4,A,fact_02,1,1,0.10622710622710622,
rr4,A,fact_02,1,2,0.044585987261146494,
rr4,A,fact_02,2,0,0.0,
rr4,A,fact_02,2,1,0.04296875,
rr4,A,fact_02,2,2,0.05828220858895705,
rr4,A,fact_03,0,0,0.12299465240641712,
rr4,A,fact_03,0,1,0.2752808988764045,
rr4,A,fact_03,0,2,0.1457286432160804,
rr4,A,fact_03,1,0,0.12179487179487179,
rr4,A,fact_03,1,1,0.14583333333333334,
rr4,A,fact_03,1,2,0.0778688524590164,
rr4,A,fact_03,2,0,0.07329842931937172,
rr4,A,fact_03,2,1,0.11538461538461539,
rr4,A,fact_03,2,2,0.12264150943396226,
rr4,A,fact_04,0,0,0.047872340425531915,
rr4,A,fact_04,0,1,0.10377358490566038,
rr4,A,fact_04,0,2,0.08650519031141868,
rr4,A,fact_04,1,0,0.03664921465968586,
rr4,A,fact_04,1,1,0.14917127071823205,
rr4,A,fact_04,1,2,0.11688311688311688,
rr4,A,fact_04,2,0,0.0374331550802139,
rr4,A,fact_04,2,1,0.13953488372093023,
rr4,A,fact_04,2,2,0.08837209302325581,
rr4,A,fact_05,0,0,0.021505376344086023,
rr4,A,fact_05,0,1,0.13043478260869565,
rr4,A,fact_05,0,2,0.09777777777777778,
rr4,A,fact_05,1,0,0.029411764705882353,
rr4,A,fact_05,1,1,0.1794871794871795,
rr4,A,fact_05,1,2,0.014760147601476014,
rr4,A,fact_05,2,0,0.025906735751295335,
rr4,A,fact_05,2,1,0.12558139534883722,
rr4,A,fact_05,2,2,0.09504132231404959,
rr4,A,crea_01,0,0,0.024054982817869417,
rr4,A,crea_01,0,1,0.13135593220338984,
rr4,A,crea_01,0,2,0.10276679841897234,
rr4,A,crea_01,1,0,0.014492753623188406,
rr4,A,crea_01,1,1,0.08133971291866028,
rr4,A,crea_01,1,2,0.10328638497652583,
