task_id,pattern,repeat_index,accuracy,completeness,coherence,usefulness,overall,total_tokens,duration_sec
sci_med,refl2,0,4,2,4,3,3,1676,19.87
sci_med,refl2,1,5,3,5,4,4,13268,69.9
sci_med,refl2,2,4,2,4,4,3,1747,19.8
sci_hard,refl2,0,3,2,3,3,3,2678,26.02
sci_hard,refl2,1,3,2,3,2,2,2724,26.3
sci_hard,refl2,2,4,2,4,3,3,2482,23.0
cs_easy,refl2,0,5,3,4,4,4,1723,17.8
cs_easy,refl2,1,5,4,5,4,4,1860,19.83
cs_easy,refl2,2,5,4,5,4,4,6052,40.53
cs_med,refl2,0,4,3,4,4,4,7121,42.02
cs_med,refl2,1,4,3,4,4,4,6801,40.29
cs_med,refl2,2,4,2,3,3,3,2155,24.23
cs_hard,refl2,0,4,2,4,3,3,20354,89.18
cs_hard,refl2,1,4,2,4,3,3,2981,25.93
cs_hard,refl2,2,4,2,3,3,3,2758,24.2
hist_easy,refl2,0,4,4,4,4,4,4162,26.41
hist_easy,refl2,1,5,5,5,5,5,1064,9.82
hist_easy,refl2,2,4,4,5,4,4,1045,10.05
hist_med,refl2,0,4,2,4,3,3,2425,27.03
hist_med,refl2,1,4,2,4,3,3,2123,21.69
hist_med,refl2,2,4,2,4,3,3,2506,21.68
hist_hard,refl2,0,4,2,4,3,3,2507,21.98
hist_hard,refl2,1,3,2,3,3,3,2293,21.5
hist_hard,refl2,2,4,2,4,3,3,22273,88.5
eng_easy,refl2,0,5,4,5,4,4,1051,10.17
eng_easy,refl2,1,5,4,5,5,5,4461,26.8
eng_easy,refl2,2,5,5,5,5,5,11570,50.0
eng_med,refl2,0,4,2,4,3,3,2409,22.9
eng_med,refl2,1,4,3,4,4,4,7477,48.12
eng_med,refl2,2,4,2,4,3,3,2296,17.96
eng_hard,refl2,0,4,2,4,3,3,2265,24.16
eng_hard,refl2,1,3,2,3,3,3,2285,20.55
eng_hard,refl2,2,4,2,4,3,3,2401,22.54
biz_easy,refl2,0,4,3,4,4,4,1928,16.73
biz_easy,refl2,1,4,3,4,4,4,2177,20.71
biz_easy,refl2,2,4,3,4,4,4,2146,20.47
biz_med,refl2,0,4,2,3,3,3,1863,18.36
biz_med,refl2,1,4,2,4,3,3,2274,20.48
biz_med,refl2,2,4,2,3,3,3,7029,37.28
biz_hard,refl2,0,4,2,3,3,3,18534,82.22
biz_hard,refl2,1,4,2,3,3,3,2289,22.85
biz_hard,refl2,2,4,2,4,3,3,8555,53.6
sci_easy,sel3,0,5,4,5,5,5,2497,22.12
sci_easy,sel3,1,5,4,4,5,5,1169,11.29
sci_easy,sel3,2,5,4,5,5,5,2658,23.12
sci_med,sel3,0,4,2,3,4,3,3659,31.91
sci_med,sel3,1,5,2,4,4,3,3618,30.52
sci_med,sel3,2,4,2,3,3,3,1781,19.58
sci_hard,sel3,0,3,2,3,3,3,5091,41.6
sci_hard,sel3,1,3,2,3,3,3,2551,23.21
sci_hard,sel3,2,4,2,4,3,3,31792,114.06
cs_easy,sel3,0,5,3,4,4,4,4718,34.2
cs_easy,sel3,1,4,3,3,4,3,4236,32.62
cs_easy,sel3,2,4,3,3,4,4,5012,38.91
cs_med,sel3,0,5,3,4,4,4,5504,37.83
cs_med,sel3,1,4,2,3,3,3,4828,34.3
cs_med,sel3,2,4,2,3,3,3,6041,33.4
cs_hard,sel3,0,4,2,3,3,3,2383,19.21
cs_hard,sel3,1,4,2,3,3,3,6079,35.94
cs_hard,sel3,2,4,2,3,3,3,6004,43.08
hist_easy,sel3,0,4,3,4,4,4,1147,11.12
hist_easy,sel3,1,4,2,3,3,3,1245,12.9
hist_easy,sel3,2,4,5,5,4,4,1052,13.1
hist_med,sel3,0,4,2,4,3,3,714,11.8
hist_med,sel3,1,4,2,3,3,3,2128,19.96
hist_med,sel3,2,4,3,4,4,4,583,6.38
hist_hard,sel3,0,4,2,4,3,3,836,10.75
hist_hard,sel3,1,4,2,4,3,3,851,10.63
hist_hard,sel3,2,4,2,4,3,3,861,9.62
eng_easy,sel3,0,5,4,5,5,5,3244,24.71
eng_easy,sel3,1,5,4,5,5,5,2731,24.22
eng_easy,sel3,2,5,4,5,5,5,2941,21.43
eng_med,sel3,0,4,2,3,3,3,2255,20.13
eng_med,sel3,1,4,3,3,4,3,2223,21.69
eng_med,sel3,2,4,2,3,3,3,2122,18.73
eng_hard,sel3,0,4,2,4,3,3,5083,30.58
eng_hard,sel3,1,4,2,3,3,3,4755,33.37
eng_hard,sel3,2,3,2,2,2,2,4872,36.35
biz_easy,sel3,0,4,3,3,4,3,1987,19.43
biz_easy,sel3,1,5,3,4,4,4,2398,25.47
biz_easy,sel3,2,5,3,4,4,4,2107,27.77
biz_med,sel3,0,4,2,3,3,3,2286,23.62
biz_med,sel3,1,4,2,3,3,3,2283,23.3
biz_med,sel3,2,4,2,3,3,3,2265,18.58
biz_hard,sel3,0,4,2,3,3,3,2348,22.97
biz_hard,sel3,1,3,2,3,3,3,2225,22.26
biz_hard,sel3,2,4,2,3,3,3,2204,19.2
sci_easy,debate3,0,5,4,4,5,5,3100,28.46
sci_easy,debate3,1,5,4,5,5,5,3197,26.94
sci_easy,debate3,2,5,3,4,4,4,2916,26.97
sci_med,debate3,0,4,2,3,3,3,4291,37.32
sci_med,debate3,1,4,2,3,3,3,3826,35.81
sci_med,debate3,2,4,2,3,3,3,3872,30.81
sci_hard,debate3,0,3,2,3,3,3,4572,30.35
sci_hard,debate3,1,3,2,3,3,3,5038,38.39
sci_hard,debate3,2,3,2,3,2,2,4789,44.84
cs_easy,debate3,0,5,3,4,4,4,4473,39.42
cs_easy,debate3,1,5,3,4,4,4,4131,34.89
cs_easy,debate3,2,5,4,5,5,5,4178,37.28
cs_med,debate3,0,4,2,4,3,3,4901,44.87
cs_med,debate3,1,4,2,4,3,3,3901,31.18
cs_med,debate3,2,4,2,3,3,3,4396,36.41
cs_hard,debate3,0,4,2,3,3,3,5590,43.1
cs_hard,debate3,1,4,2,4,3,3,8505,55.93
cs_hard,debate3,2,3,2,3,3,3,5849,68.59
hist_easy,debate3,0,4,3,4,4,4,4948,57.33
hist_easy,debate3,1,4,4,4,4,4,5326,55.84
hist_easy,debate3,2,4,3,3,4,4,4930,57.86
hist_med,debate3,0,4,2,3,3,3,4713,56.14
hist_med,debate3,1,4,2,3,3,3,4567,43.77
hist_med,debate3,2,4,2,3,3,3,4426,49.19
hist_hard,debate3,0,4,2,3,3,3,5093,53.23
hist_hard,debate3,1,4,2,3,3,3,8667,90.03
hist_hard,debate3,2,4,2,4,3,3,7330,78.16
eng_easy,debate3,0,5,4,5,5,5,7925,64.58
eng_easy,debate3,1,5,4,4,4,4,24875,128.32
eng_easy,debate3,2,5,4,5,5,5,8150,53.86
eng_med,debate3,0,4,2,3,3,3,5112,41.48
eng_med,debate3,1,4,2,3,3,3,5298,42.93
eng_med,debate3,2,4,2,3,3,3,4938,47.33
eng_hard,debate3,0,3,2,3,3,3,4507,38.81
eng_hard,debate3,1,4,2,3,3,3,4855,46.05
eng_hard,debate3,2,3,2,3,3,3,4630,45.25
biz_easy,debate3,0,4,3,3,3,3,8392,68.21
biz_easy,debate3,1,4,3,3,4,4,4466,45.27
biz_easy,debate3,2,4,2,3,3,3,4464,37.21
biz_med,debate3,0,4,2,3,3,3,4460,37.41
biz_med,debate3,1,4,2,3,3,3,5673,54.57
biz_med,debate3,2,4,2,3,3,3,4644,40.84
biz_hard,debate3,0,3,2,3,3,2,8302,52.37
biz_hard,debate3,1,3,2,3,3,3,5305,44.31
biz_hard,debate3,2,4,2,3,3,3,5154,40.75
