pattern,pattern_category,task_id,task_category,turn_index,accuracy,completeness,coherence,usefulness,overall
debate3,C,fact_02,factual,3,4,4,3,4,4
debate3,C,fact_02,factual,4,4,3,3,3,3
debate3,C,fact_03,factual,1,5,3,5,5,4
debate3,C,fact_03,factual,2,3,3,2,3,3
debate3,C,fact_03,factual,3,4,3,3,4,3
debate3,C,fact_03,factual,4,4,3,3,4,4
debate3,C,fact_04,factual,1,5,4,5,5,5
debate3,C,fact_04,factual,2,4,4,4,4,4
debate3,C,fact_04,factual,3,4,4,4,4,4
debate3,C,fact_05,factual,1,5,3,5,5,4
debate3,C,fact_05,factual,2,4,3,4,4,4
debate3,C,fact_05,factual,3,4,3,4,4,4
debate3,C,crea_01,creative,1,4,2,5,4,3
debate3,C,crea_01,creative,2,4,3,4,4,4
debate3,C,crea_01,creative,3,4,3,4,4,4
debate3,C,crea_02,creative,1,5,3,5,4,4
debate3,C,crea_02,creative,2,3,2,2,2,2
debate3,C,crea_02,creative,3,3,2,2,2,2
debate3,C,crea_02,creative,4,3,2,2,2,2
debate3,C,crea_03,creative,1,4,3,5,5,4
debate3,C,crea_03,creative,2,4,3,4,4,4
debate3,C,crea_03,creative,3,4,2,4,4,3
debate3,C,crea_04,creative,1,4,3,4,4,4
debate3,C,crea_04,creative,2,3,3,4,4,3
debate3,C,crea_04,creative,3,3,3,3,3,3
debate3,C,crea_04,creative,4,3,3,3,3,3
debate3,C,crea_05,creative,1,5,4,5,5,5
debate3,C,crea_05,creative,2,4,3,4,4,4
debate3,C,crea_05,creative,3,4,3,4,4,4
debate3,C,crea_05,creative,4,4,3,4,4,4
debate3,C,anal_01,analytical,1,4,3,4,4,4
debate3,C,anal_01,analytical,2,4,3,4,4,4
debate3,C,anal_01,analytical,3,4,3,4,4,4
debate3,C,anal_02,analytical,1,4,2,4,3,3
debate3,C,anal_02,analytical,2,4,3,4,4,4
debate3,C,anal_02,analytical,3,4,3,4,4,4
debate3,C,anal_03,analytical,1,4,3,4,4,4
debate3,C,anal_03,analytical,2,4,3,3,4,3
debate3,C,anal_03,analytical,3,4,2,3,3,3
debate3,C,anal_04,analytical,1,4,2,4,4,3
debate3,C,anal_04,analytical,2,4,3,4,4,4
debate3,C,anal_04,analytical,3,4,3,4,4,4
debate3,C,anal_05,analytical,1,3,2,4,3,3
debate3,C,anal_05,analytical,2,4,3,4,4,4
debate3,C,anal_05,analytical,3,3,3,4,4,3
debate3,C,anal_05,analytical,4,4,3,4,4,4
debate3,C,tech_01,technical,1,5,2,5,4,3
debate3,C,tech_01,technical,2,4,2,3,3,3
debate3,C,tech_01,technical,3,4,3,4,4,4
debate3,C,tech_02,technical,1,5,3,5,5,4
debate3,C,tech_02,technical,2,4,3,4,4,4
debate3,C,tech_02,technical,3,4,3,4,4,4
debate3,C,tech_03,technical,1,4,2,4,3,3
debate3,C,tech_03,technical,2,2,2,2,2,2
debate3,C,tech_03,technical,3,3,2,2,3,2
debate3,C,tech_04,technical,1,4,2,4,3,3
debate3,C,tech_04,technical,2,3,2,3,3,3
debate3,C,tech_04,technical,3,3,2,2,3,2
debate3,C,tech_05,technical,1,4,2,4,3,3
debate3,C,tech_05,technical,2,3,2,2,2,2
debate3,C,tech_05,technical,3,3,2,2,2,2
swm3,B,fact_01,factual,1,4,4,5,5,4
swm3,B,fact_02,factual,1,5,5,5,5,5
swm3,B,fact_03,factual,1,4,3,4,4,4
swm3,B,fact_03,factual,2,4,3,2,3,3
swm3,B,fact_04,factual,1,5,5,5,5,5
swm3,B,fact_05,factual,1,5,5,5,5,5
swm3,B,crea_01,creative,1,4,5,5,5,5
swm3,B,crea_02,creative,1,5,3,5,4,4
swm3,B,crea_03,creative,1,5,4,5,5,5
swm3,B,crea_04,creative,1,4,5,5,5,5
swm3,B,crea_05,creative,1,5,5,5,5,5
swm3,B,crea_05,creative,2,4,5,3,4,4
swm3,B,anal_01,analytical,1,4,4,5,5,4
swm3,B,anal_02,analytical,1,4,4,5,5,4
swm3,B,anal_03,analytical,1,4,4,5,5,4
swm3,B,anal_04,analytical,1,4,4,5,4,4
swm3,B,anal_05,analytical,1,4,4,5,5,4
swm3,B,tech_01,technical,1,4,2,3,3,3
swm3,B,tech_02,technical,1,4,3,5,4,4
swm3,B,tech_03,technical,1,5,3,5,4,4
swm3,B,tech_04,technical,1,3,2,3,2,2
swm3,B,tech_04,technical,2,3,2,2,2,2
swm3,B,tech_04,technical,3,3,2,2,2,2
swm3,B,tech_04,technical,4,3,2,2,3,2
swm3,B,tech_05,technical,1,4,2,4,3,3
