pattern,pattern_category,task_id,task_category,turn_index,accuracy,completeness,coherence,usefulness,overall
swm3,B,fact_01,factual,52,1,1,1,1,1
swm3,B,fact_01,factual,53,1,1,1,1,1
swm3,B,fact_01,factual,54,1,1,1,1,1
swm3,B,fact_01,factual,55,1,1,1,1,1
swm3,B,fact_01,factual,56,1,1,1,1,1
swm3,B,fact_01,factual,57,1,1,1,1,1
swm3,B,fact_01,factual,58,1,1,1,1,1
swm3,B,fact_01,factual,59,1,1,1,1,1
swm3,B,fact_01,factual,60,1,1,1,1,1
swm3,B,fact_01,factual,61,1,1,1,1,1
swm3,B,fact_01,factual,62,1,1,1,1,1
swm3,B,fact_01,factual,63,1,1,1,1,1
swm3,B,fact_01,factual,64,1,1,1,1,1
swm3,B,fact_01,factual,65,1,1,1,1,1
swm3,B,fact_01,factual,66,1,1,1,1,1
swm3,B,fact_01,factual,67,1,1,1,1,1
swm3,B,fact_01,factual,68,1,1,1,1,1
swm3,B,fact_01,factual,69,1,1,1,1,1
swm3,B,fact_01,factual,70,1,1,1,1,1
swm3,B,fact_02,factual,1,1,1,1,1,1
swm3,B,fact_02,factual,2,1,1,1,1,1
swm3,B,fact_02,factual,3,1,1,1,1,1
swm3,B,fact_02,factual,4,4,4,4,4,4
swm3,B,fact_03,factual,1,1,1,1,1,1
swm3,B,fact_03,factual,2,1,1,1,1,1
swm3,B,fact_03,factual,3,1,1,1,1,1
swm3,B,fact_03,factual,4,1,1,1,1,1
swm3,B,fact_03,factual,5,1,1,1,1,1
swm3,B,fact_03,factual,6,1,1,1,1,1
swm3,B,fact_03,factual,7,1,1,1,1,1
swm3,B,fact_03,factual,8,1,1,1,1,1
swm3,B,fact_03,factual,9,1,1,1,1,1
swm3,B,fact_03,factual,10,1,1,1,1,1
swm3,B,fact_03,factual,11,1,1,1,1,1
swm3,B,fact_03,factual,12,1,1,1,1,1
swm3,B,fact_03,factual,13,1,1,1,1,1
swm3,B,fact_03,factual,14,1,1,1,1,1
swm3,B,fact_03,factual,15,1,1,1,1,1
swm3,B,fact_03,factual,16,1,1,1,1,1
swm3,B,fact_03,factual,17,1,1,1,1,1
swm3,B,fact_03,factual,18,1,1,1,1,1
swm3,B,fact_03,factual,19,1,1,1,1,1
swm3,B,fact_03,factual,20,1,1,1,1,1
swm3,B,fact_03,factual,21,1,1,1,1,1
swm3,B,fact_03,factual,22,1,1,1,1,1
swm3,B,fact_03,factual,23,1,1,1,1,1
swm3,B,fact_03,factual,24,1,1,1,1,1
swm3,B,fact_03,factual,25,1,1,1,1,1
swm3,B,fact_03,factual,26,1,1,1,1,1
swm3,B,fact_03,factual,27,1,1,1,1,1
swm3,B,fact_03,factual,28,1,1,1,1,1
swm3,B,fact_03,factual,29,1,1,1,1,1
swm3,B,fact_03,factual,30,1,1,1,1,1
swm3,B,fact_03,factual,31,1,1,1,1,1
swm3,B,fact_03,factual,32,1,1,1,1,1
swm3,B,fact_03,factual,33,1,1,1,1,1
swm3,B,fact_03,factual,34,1,1,1,1,1
swm3,B,fact_03,factual,35,1,1,1,1,1
swm3,B,fact_03,factual,36,1,1,1,1,1
swm3,B,fact_03,factual,37,1,1,1,1,1
swm3,B,fact_03,factual,38,1,1,1,1,1
swm3,B,fact_03,factual,39,1,1,1,1,1
swm3,B,fact_03,factual,40,1,1,1,1,1
swm3,B,fact_03,factual,41,1,1,1,1,1
swm3,B,fact_03,factual,42,1,1,1,1,1
swm3,B,fact_03,factual,43,1,1,1,1,1
swm3,B,fact_03,factual,44,1,1,1,1,1
swm3,B,fact_03,factual,45,1,1,1,1,1
swm3,B,fact_03,factual,46,1,1,1,1,1
swm3,B,fact_03,factual,47,1,1,1,1,1
swm3,B,fact_03,factual,48,1,1,1,1,1
swm3,B,fact_03,factual,49,1,1,1,1,1
swm3,B,fact_03,factual,50,1,1,1,1,1
swm3,B,fact_03,factual,51,1,1,1,1,1
swm3,B,fact_03,factual,52,1,1,1,1,1
swm3,B,fact_03,factual,53,1,1,1,1,1
swm3,B,fact_03,factual,54,1,1,1,1,1
swm3,B,fact_03,factual,55,1,1,1,1,1
swm3,B,fact_03,factual,56,1,1,1,1,1
swm3,B,fact_03,factual,57,1,1,1,1,1
swm3,B,fact_03,factual,58,1,1,1,1,1
swm3,B,fact_03,factual,59,1,1,1,1,1
swm3,B,fact_03,factual,60,1,1,1,1,1
swm3,B,fact_03,factual,61,1,1,1,1,1
swm3,B,fact_03,factual,62,1,1,1,1,1
swm3,B,fact_03,factual,63,1,1,1,1,1
swm3,B,fact_03,factual,64,1,1,1,1,1
swm3,B,fact_03,factual,65,1,1,1,1,1
swm3,B,fact_03,factual,66,1,1,1,1,1
swm3,B,fact_03,factual,67,1,1,1,1,1
swm3,B,fact_03,factual,68,1,1,1,1,1
swm3,B,fact_04,factual,1,1,1,1,1,1
swm3,B,fact_04,factual,2,1,1,1,1,1
swm3,B,fact_04,factual,3,1,1,1,1,1
swm3,B,fact_04,factual,4,5,5,5,5,5
swm3,B,fact_05,factual,1,1,1,1,1,1
swm3,B,fact_05,factual,2,1,1,1,1,1
swm3,B,fact_05,factual,3,1,1,1,1,1
swm3,B,fact_05,factual,4,5,5,5,5,5
swm3,B,crea_01,creative,1,1,1,1,1,1
swm3,B,crea_01,creative,2,1,1,1,1,1
swm3,B,crea_01,creative,3,1,1,1,1,1
swm3,B,crea_01,creative,4,4,4,4,4,4
swm3,B,crea_02,creative,1,1,1,1,1,1
swm3,B,crea_02,creative,2,1,1,1,1,1
swm3,B,crea_02,creative,3,1,1,1,1,1
swm3,B,crea_02,creative,4,5,3,5,4,4
swm3,B,crea_03,creative,1,3,1,3,1,1
swm3,B,crea_03,creative,2,1,1,1,1,1
swm3,B,crea_03,creative,3,1,1,1,1,1
swm3,B,crea_03,creative,4,4,4,4,5,4
swm3,B,crea_04,creative,1,3,1,2,1,1
swm3,B,crea_04,creative,2,1,1,1,1,1
swm3,B,crea_04,creative,3,1,1,1,1,1
swm3,B,crea_04,creative,4,4,5,5,5,5
swm3,B,crea_05,creative,1,1,1,1,1,1
swm3,B,crea_05,creative,2,1,1,1,1,1
swm3,B,crea_05,creative,3,1,1,1,1,1
swm3,B,crea_05,creative,4,5,5,5,5,5
swm3,B,anal_01,analytical,1,1,1,1,1,1
swm3,B,anal_01,analytical,2,1,1,1,1,1
swm3,B,anal_01,analytical,3,1,1,1,1,1
swm3,B,anal_01,analytical,4,4,5,5,5,5
swm3,B,anal_02,analytical,1,1,1,1,1,1
swm3,B,anal_02,analytical,2,1,1,1,1,1
swm3,B,anal_02,analytical,3,1,1,1,1,1
swm3,B,anal_02,analytical,4,4,4,5,5,4
swm3,B,anal_03,analytical,1,1,1,1,1,1
swm3,B,anal_03,analytical,2,1,1,1,1,1
swm3,B,anal_03,analytical,3,1,1,1,1,1
swm3,B,anal_03,analytical,4,4,4,4,5,4
swm3,B,anal_04,analytical,1,1,1,1,1,1
swm3,B,anal_04,analytical,2,1,1,1,1,1
swm3,B,anal_04,analytical,3,1,1,1,1,1
swm3,B,anal_04,analytical,4,4,4,5,5,4
swm3,B,anal_05,analytical,1,1,1,1,1,1
swm3,B,anal_05,analytical,2,1,1,1,1,1
swm3,B,anal_05,analytical,3,1,1,1,1,1
swm3,B,anal_05,analytical,4,4,4,5,5,4
swm3,B,tech_01,technical,1,1,1,1,1,1
swm3,B,tech_01,technical,2,1,1,1,1,1
swm3,B,tech_01,technical,3,1,1,1,1,1
swm3,B,tech_01,technical,4,1,1,1,1,1
swm3,B,tech_01,technical,5,1,1,1,1,1
swm3,B,tech_01,technical,6,1,1,1,1,1
swm3,B,tech_01,technical,7,1,1,1,1,1
swm3,B,tech_01,technical,8,1,1,1,1,1
swm3,B,tech_01,technical,9,1,1,1,1,1
swm3,B,tech_01,technical,10,1,1,1,1,1
swm3,B,tech_01,technical,11,1,1,1,1,1
swm3,B,tech_01,technical,12,1,1,1,1,1
swm3,B,tech_01,technical,13,1,1,1,1,1
swm3,B,tech_01,technical,14,1,1,1,1,1
swm3,B,tech_01,technical,15,1,1,1,1,1
swm3,B,tech_01,technical,16,1,1,1,1,1
swm3,B,tech_01,technical,17,1,1,1,1,1
swm3,B,tech_01,technical,18,1,1,1,1,1
swm3,B,tech_01,technical,19,1,1,1,1,1
swm3,B,tech_01,technical,20,1,1,1,1,1
swm3,B,tech_01,technical,21,1,1,1,1,1
swm3,B,tech_01,technical,22,1,1,1,1,1
swm3,B,tech_01,technical,23,1,1,1,1,1
swm3,B,tech_01,technical,24,1,1,1,1,1
swm3,B,tech_01,technical,25,1,1,1,1,1
swm3,B,tech_01,technical,26,1,1,1,1,1
swm3,B,tech_01,technical,27,1,1,1,1,1
swm3,B,tech_01,technical,28,1,1,1,1,1
swm3,B,tech_01,technical,29,1,1,1,1,1
swm3,B,tech_01,technical,30,1,1,1,1,1
swm3,B,tech_01,technical,31,1,1,1,1,1
swm3,B,tech_01,technical,32,1,1,1,1,1
swm3,B,tech_01,technical,33,1,1,1,1,1
swm3,B,tech_01,technical,34,1,1,1,1,1
swm3,B,tech_01,technical,35,1,1,1,1,1
swm3,B,tech_01,technical,36,1,1,1,1,1
swm3,B,tech_01,technical,37,1,1,1,1,1
swm3,B,tech_01,technical,38,1,1,1,1,1
swm3,B,tech_01,technical,39,1,1,1,1,1
swm3,B,tech_01,technical,40,1,1,1,1,1
swm3,B,tech_01,technical,41,1,1,1,1,1
swm3,B,tech_01,technical,42,1,1,1,1,1
swm3,B,tech_01,technical,43,1,1,1,1,1
swm3,B,tech_01,technical,44,1,1,1,1,1
swm3,B,tech_01,technical,45,1,1,1,1,1
swm3,B,tech_01,technical,46,1,1,1,1,1
swm3,B,tech_01,technical,47,1,1,1,1,1
swm3,B,tech_01,technical,48,1,1,1,1,1
swm3,B,tech_01,technical,49,1,1,1,1,1
swm3,B,tech_01,technical,50,1,1,1,1,1
swm3,B,tech_01,technical,51,1,1,1,1,1
swm3,B,tech_01,technical,52,1,1,1,1,1
swm3,B,tech_02,technical,1,1,1,1,1,1
swm3,B,tech_02,technical,2,1,1,1,1,1
swm3,B,tech_02,technical,3,1,1,1,1,1
swm3,B,tech_02,technical,4,4,3,4,4,4
swm3,B,tech_03,technical,1,1,1,1,1,1
swm3,B,tech_03,technical,2,1,1,1,1,1
swm3,B,tech_03,technical,3,1,1,1,1,1
swm3,B,tech_03,technical,4,5,3,4,4,4
swm3,B,tech_04,technical,1,1,1,1,1,1
swm3,B,tech_04,technical,2,1,1,1,1,1
swm3,B,tech_04,technical,3,1,1,1,1,1
swm3,B,tech_04,technical,4,1,1,1,1,1
swm3,B,tech_04,technical,5,1,1,1,1,1
swm3,B,tech_04,technical,6,1,1,1,1,1
swm3,B,tech_04,technical,7,1,1,1,1,1
swm3,B,tech_04,technical,8,1,1,1,1,1
swm3,B,tech_04,technical,9,1,1,1,1,1
swm3,B,tech_04,technical,10,1,1,1,1,1
swm3,B,tech_04,technical,11,1,1,1,1,1
swm3,B,tech_04,technical,12,1,1,1,1,1
swm3,B,tech_04,technical,13,1,1,1,1,1
swm3,B,tech_04,technical,14,1,1,1,1,1
swm3,B,tech_04,technical,15,1,1,1,1,1
swm3,B,tech_04,technical,16,1,1,1,1,1
swm3,B,tech_04,technical,17,1,1,1,1,1
swm3,B,tech_04,technical,18,1,1,1,1,1
swm3,B,tech_04,technical,19,1,1,1,1,1
swm3,B,tech_04,technical,20,1,1,1,1,1
swm3,B,tech_04,technical,21,1,1,1,1,1
swm3,B,tech_04,technical,22,1,1,1,1,1
swm3,B,tech_04,technical,23,1,1,1,1,1
swm3,B,tech_04,technical,24,1,1,1,1,1
swm3,B,tech_04,technical,25,1,1,1,1,1
swm3,B,tech_04,technical,26,1,1,1,1,1
swm3,B,tech_04,technical,27,1,1,1,1,1
swm3,B,tech_04,technical,28,1,1,1,1,1
swm3,B,tech_04,technical,29,1,1,1,1,1
swm3,B,tech_04,technical,30,1,1,1,1,1
swm3,B,tech_04,technical,31,1,1,1,1,1
swm3,B,tech_04,technical,32,1,1,1,1,1
swm3,B,tech_04,technical,33,1,1,1,1,1
swm3,B,tech_04,technical,34,1,1,1,1,1
swm3,B,tech_04,technical,35,1,1,1,1,1
swm3,B,tech_04,technical,36,1,1,1,1,1
swm3,B,tech_04,technical,37,1,1,1,1,1
swm3,B,tech_04,technical,38,1,1,1,1,1
swm3,B,tech_04,technical,39,1,1,1,1,1
swm3,B,tech_04,technical,40,1,1,1,1,1
swm3,B,tech_04,technical,41,1,1,1,1,1
swm3,B,tech_04,technical,42,1,1,1,1,1
swm3,B,tech_04,technical,43,1,1,1,1,1
swm3,B,tech_04,technical,44,1,1,1,1,1
swm3,B,tech_04,technical,45,1,1,1,1,1
swm3,B,tech_04,technical,46,1,1,1,1,1
swm3,B,tech_04,technical,47,1,1,1,1,1
swm3,B,tech_04,technical,48,1,1,1,1,1
swm3,B,tech_04,technical,49,1,1,1,1,1
swm3,B,tech_04,technical,50,1,1,1,1,1
swm3,B,tech_04,technical,51,1,1,1,1,1
swm3,B,tech_04,technical,52,1,1,1,1,1
swm3,B,tech_05,technical,1,1,1,1,1,1
swm3,B,tech_05,technical,2,1,1,1,1,1
swm3,B,tech_05,technical,3,1,1,1,1,1
swm3,B,tech_05,technical,4,1,1,1,1,1
swm3,B,tech_05,technical,5,1,1,1,1,1
swm3,B,tech_05,technical,6,1,1,1,1,1
swm3,B,tech_05,technical,7,1,1,1,1,1
swm3,B,tech_05,technical,8,1,1,1,1,1
swm3,B,tech_05,technical,9,1,1,1,1,1
swm3,B,tech_05,technical,10,1,1,1,1,1
swm3,B,tech_05,technical,11,1,1,1,1,1
swm3,B,tech_05,technical,12,1,1,1,1,1
swm3,B,tech_05,technical,13,1,1,1,1,1
swm3,B,tech_05,technical,14,1,1,1,1,1
swm3,B,tech_05,technical,15,1,1,1,1,1
swm3,B,tech_05,technical,16,1,1,1,1,1
swm3,B,tech_05,technical,17,1,1,1,1,1
swm3,B,tech_05,technical,18,1,1,1,1,1
swm3,B,tech_05,technical,19,1,1,1,1,1
swm3,B,tech_05,technical,20,1,1,1,1,1
swm3,B,tech_05,technical,21,1,1,1,1,1
swm3,B,tech_05,technical,22,1,1,1,1,1
swm3,B,tech_05,technical,23,1,1,1,1,1
swm3,B,tech_05,technical,24,1,1,1,1,1
swm3,B,tech_05,technical,25,1,1,1,1,1
swm3,B,tech_05,technical,26,1,1,1,1,1
swm3,B,tech_05,technical,27,1,1,1,1,1
swm3,B,tech_05,technical,28,1,1,1,1,1
swm3,B,tech_05,technical,29,1,1,1,1,1
swm3,B,tech_05,technical,30,1,1,1,1,1
swm3,B,tech_05,technical,31,1,1,1,1,1
swm3,B,tech_05,technical,32,1,1,1,1,1
swm3,B,tech_05,technical,33,1,1,1,1,1
swm3,B,tech_05,technical,34,1,1,1,1,1
swm3,B,tech_05,technical,35,1,1,1,1,1
swm3,B,tech_05,technical,36,1,1,1,1,1
swm3,B,tech_05,technical,37,1,1,1,1,1
swm3,B,tech_05,technical,38,1,1,1,1,1
swm3,B,tech_05,technical,39,1,1,1,1,1
swm3,B,tech_05,technical,40,1,1,1,1,1
swm3,B,tech_05,technical,41,1,1,1,1,1
swm3,B,tech_05,technical,42,1,1,1,1,1
swm3,B,tech_05,technical,43,1,1,1,1,1
swm3,B,tech_05,technical,44,1,1,1,1,1
swm3,B,tech_05,technical,45,1,1,1,1,1
swm3,B,tech_05,technical,46,1,1,1,1,1
swm3,B,tech_05,technical,47,1,1,1,1,1
swm3,B,tech_05,technical,48,1,1,1,1,1
swm3,B,tech_05,technical,49,1,1,1,1,1
swm3,B,tech_05,technical,50,1,1,1,1,1
swm3,B,tech_05,technical,51,1,1,1,1,1
swm3,B,tech_05,technical,52,1,1,1,1,1
swm3,B,tech_05,technical,53,1,1,1,1,1
swm3,B,tech_05,technical,54,1,1,1,1,1
swm3,B,tech_05,technical,55,1,1,1,1,1
swm3,B,tech_05,technical,56,1,1,1,1,1
swm3,B,tech_05,technical,57,1,1,1,1,1
swm3,B,tech_05,technical,58,1,1,1,1,1
swm3,B,tech_05,technical,59,1,1,1,1,1
swm3,B,tech_05,technical,60,1,1,1,1,1
swm3,B,tech_05,technical,61,1,1,1,1,1
swm3,B,tech_05,technical,62,1,1,1,1,1
swm3,B,tech_05,technical,63,1,1,1,1,1
swm3,B,tech_05,technical,64,1,1,1,1,1
swm3,B,tech_05,technical,65,1,1,1,1,1
swm3,B,tech_05,technical,66,1,1,1,1,1
swm3,B,tech_05,technical,67,1,1,1,1,1
swm3,B,tech_05,technical,68,1,1,1,1,1
swm3,B,tech_05,technical,69,1,1,1,1,1
swm3,B,tech_05,technical,70,1,1,1,1,1
swm3,B,tech_05,technical,71,1,1,1,1,1
swm3,B,tech_05,technical,72,1,1,1,1,1
refl2,C,fact_01,factual,1,5,3,5,5,4
refl2,C,fact_01,factual,2,5,4,5,5,5
refl2,C,fact_02,factual,1,5,3,4,4,4
refl2,C,fact_02,factual,2,5,4,5,5,5
refl2,C,fact_03,factual,1,5,3,5,5,4
refl2,C,fact_03,factual,2,4,4,5,5,4
refl2,C,fact_03,factual,3,4,4,5,5,4
refl2,C,fact_03,factual,4,4,4,5,5,4
refl2,C,fact_04,factual,1,5,4,5,5,5
refl2,C,fact_04,factual,2,5,5,5,5,5
refl2,C,fact_05,factual,1,5,3,5,5,4
refl2,C,fact_05,factual,2,5,5,5,5,5
refl2,C,crea_01,creative,1,4,3,5,4,4
refl2,C,crea_01,creative,2,4,4,5,5,4
refl2,C,crea_01,creative,3,4,4,5,5,4
refl2,C,crea_01,creative,4,4,4,5,5,4
refl2,C,crea_01,creative,5,4,4,5,4,4
refl2,C,crea_01,creative,6,4,4,5,4,4
refl2,C,crea_02,creative,1,5,3,5,4,4
refl2,C,crea_02,creative,2,5,5,5,5,5
