pattern,pattern_category,task_id,turn_index,quality,delta_q,tokens_kT,delta_c,cumul_cost_kT,lambda,delta_u,U_t
debate3,C,crea_03,2,4.0,0.0,3.174,3.174,4.353,0.0,0.0,4.0
debate3,C,crea_03,3,3.0,-1.0,4.242,4.242,8.594999999999999,0.0,-1.0,3.0
debate3,C,crea_03,1,4.0,4.0,1.179,1.179,1.179,0.05,3.94105,3.94105
debate3,C,crea_03,2,4.0,0.0,3.174,3.174,4.353,0.05,-0.1587,3.78235
debate3,C,crea_03,3,3.0,-1.0,4.242,4.242,8.594999999999999,0.05,-1.2121,2.57025
debate3,C,crea_03,1,4.0,4.0,1.179,1.179,1.179,0.1,3.8821,3.8821
debate3,C,crea_03,2,4.0,0.0,3.174,3.174,4.353,0.1,-0.3174,3.5647
debate3,C,crea_03,3,3.0,-1.0,4.242,4.242,8.594999999999999,0.1,-1.4242,2.1405000000000003
debate3,C,crea_03,1,4.0,4.0,1.179,1.179,1.179,0.2,3.7641999999999998,3.7641999999999998
debate3,C,crea_03,2,4.0,0.0,3.174,3.174,4.353,0.2,-0.6348,3.1294
debate3,C,crea_03,3,3.0,-1.0,4.242,4.242,8.594999999999999,0.2,-1.8484,1.2810000000000001
debate3,C,crea_03,1,4.0,4.0,1.179,1.179,1.179,0.5,3.4105,3.4105
debate3,C,crea_03,2,4.0,0.0,3.174,3.174,4.353,0.5,-1.587,1.8235000000000001
debate3,C,crea_03,3,3.0,-1.0,4.242,4.242,8.594999999999999,0.5,-3.121,-1.2974999999999994
debate3,C,crea_04,1,4.0,4.0,1.345,1.345,1.345,0.0,4.0,4.0
debate3,C,crea_04,2,3.0,-1.0,3.424,3.424,4.769,0.0,-1.0,3.0
debate3,C,crea_04,3,3.0,0.0,6.535,6.535,11.304,0.0,0.0,3.0
debate3,C,crea_04,4,3.0,0.0,1.917,1.917,13.221,0.0,0.0,3.0
debate3,C,crea_04,1,4.0,4.0,1.345,1.345,1.345,0.05,3.93275,3.93275
debate3,C,crea_04,2,3.0,-1.0,3.424,3.424,4.769,0.05,-1.1712,2.76155
debate3,C,crea_04,3,3.0,0.0,6.535,6.535,11.304,0.05,-0.32675000000000004,2.4348
debate3,C,crea_04,4,3.0,0.0,1.917,1.917,13.221,0.05,-0.09585,2.33895
debate3,C,crea_04,1,4.0,4.0,1.345,1.345,1.345,0.1,3.8655,3.8655
debate3,C,crea_04,2,3.0,-1.0,3.424,3.424,4.769,0.1,-1.3424,2.5231
debate3,C,crea_04,3,3.0,0.0,6.535,6.535,11.304,0.1,-0.6535000000000001,1.8696
debate3,C,crea_04,4,3.0,0.0,1.917,1.917,13.221,0.1,-0.1917,1.6779
debate3,C,crea_04,1,4.0,4.0,1.345,1.345,1.345,0.2,3.731,3.731
debate3,C,crea_04,2,3.0,-1.0,3.424,3.424,4.769,0.2,-1.6848,2.0462
debate3,C,crea_04,3,3.0,0.0,6.535,6.535,11.304,0.2,-1.3070000000000002,0.7391999999999999
debate3,C,crea_04,4,3.0,0.0,1.917,1.917,13.221,0.2,-0.3834,0.3557999999999999
debate3,C,crea_04,1,4.0,4.0,1.345,1.345,1.345,0.5,3.3275,3.3275
debate3,C,crea_04,2,3.0,-1.0,3.424,3.424,4.769,0.5,-2.7119999999999997,0.6154999999999999
debate3,C,crea_04,3,3.0,0.0,6.535,6.535,11.304,0.5,-3.2675,-2.652
debate3,C,crea_04,4,3.0,0.0,1.917,1.917,13.221,0.5,-0.9585,-3.6105
debate3,C,crea_05,1,5.0,5.0,0.799,0.799,0.799,0.0,5.0,5.0
debate3,C,crea_05,2,4.0,-1.0,1.841,1.841,2.64,0.0,-1.0,4.0
debate3,C,crea_05,3,4.0,0.0,3.665,3.665,6.305,0.0,0.0,4.0
debate3,C,crea_05,4,4.0,0.0,4.57,4.57,10.875,0.0,0.0,4.0
debate3,C,crea_05,1,5.0,5.0,0.799,0.799,0.799,0.05,4.96005,4.96005
debate3,C,crea_05,2,4.0,-1.0,1.841,1.841,2.64,0.05,-1.09205,3.868
debate3,C,crea_05,3,4.0,0.0,3.665,3.665,6.305,0.05,-0.18325000000000002,3.68475
debate3,C,crea_05,4,4.0,0.0,4.57,4.57,10.875,0.05,-0.22850000000000004,3.45625
debate3,C,crea_05,1,5.0,5.0,0.799,0.799,0.799,0.1,4.9201,4.9201
debate3,C,crea_05,2,4.0,-1.0,1.841,1.841,2.64,0.1,-1.1841,3.7359999999999998
debate3,C,crea_05,3,4.0,0.0,3.665,3.665,6.305,0.1,-0.36650000000000005,3.3695
debate3,C,crea_05,4,4.0,0.0,4.57,4.57,10.875,0.1,-0.4570000000000001,2.9124999999999996
debate3,C,crea_05,1,5.0,5.0,0.799,0.799,0.799,0.2,4.8402,4.8402
debate3,C,crea_05,2,4.0,-1.0,1.841,1.841,2.64,0.2,-1.3682,3.472
debate3,C,crea_05,3,4.0,0.0,3.665,3.665,6.305,0.2,-0.7330000000000001,2.739
debate3,C,crea_05,4,4.0,0.0,4.57,4.57,10.875,0.2,-0.9140000000000001,1.8249999999999997
debate3,C,crea_05,1,5.0,5.0,0.799,0.799,0.799,0.5,4.6005,4.6005
debate3,C,crea_05,2,4.0,-1.0,1.841,1.841,2.64,0.5,-1.9205,2.6799999999999997
debate3,C,crea_05,3,4.0,0.0,3.665,3.665,6.305,0.5,-1.8325,0.8475000000000001
debate3,C,crea_05,4,4.0,0.0,4.57,4.57,10.875,0.5,-2.285,-1.4375
debate3,C,fact_01,1,4.0,4.0,0.943,0.943,0.943,0.0,4.0,4.0
debate3,C,fact_01,2,3.0,-1.0,2.167,2.167,3.11,0.0,-1.0,3.0
debate3,C,fact_01,3,3.0,0.0,2.814,2.814,5.9239999999999995,0.0,0.0,3.0
debate3,C,fact_01,1,4.0,4.0,0.943,0.943,0.943,0.05,3.95285,3.95285
debate3,C,fact_01,2,3.0,-1.0,2.167,2.167,3.11,0.05,-1.10835,2.8445
debate3,C,fact_01,3,3.0,0.0,2.814,2.814,5.9239999999999995,0.05,-0.14070000000000002,2.7038
debate3,C,fact_01,1,4.0,4.0,0.943,0.943,0.943,0.1,3.9057,3.9057
debate3,C,fact_01,2,3.0,-1.0,2.167,2.167,3.11,0.1,-1.2167,2.689
debate3,C,fact_01,3,3.0,0.0,2.814,2.814,5.9239999999999995,0.1,-0.28140000000000004,2.4076
debate3,C,fact_01,1,4.0,4.0,0.943,0.943,0.943,0.2,3.8114,3.8114
debate3,C,fact_01,2,3.0,-1.0,2.167,2.167,3.11,0.2,-1.4334,2.378
debate3,C,fact_01,3,3.0,0.0,2.814,2.814,5.9239999999999995,0.2,-0.5628000000000001,1.8152000000000001
debate3,C,fact_01,1,4.0,4.0,0.943,0.943,0.943,0.5,3.5285,3.5285
debate3,C,fact_01,2,3.0,-1.0,2.167,2.167,3.11,0.5,-2.0835,1.445
debate3,C,fact_01,3,3.0,0.0,2.814,2.814,5.9239999999999995,0.5,-1.407,0.038000000000000256
debate3,C,fact_02,1,5.0,5.0,0.587,0.587,0.587,0.0,5.0,5.0
debate3,C,fact_02,2,4.0,-1.0,1.938,1.938,2.525,0.0,-1.0,4.0
debate3,C,fact_02,3,4.0,0.0,4.22,4.22,6.744999999999999,0.0,0.0,4.0
debate3,C,fact_02,4,3.0,-1.0,1.872,1.872,8.616999999999999,0.0,-1.0,3.0
debate3,C,fact_02,1,5.0,5.0,0.587,0.587,0.587,0.05,4.97065,4.97065
debate3,C,fact_02,2,4.0,-1.0,1.938,1.938,2.525,0.05,-1.0969,3.87375
debate3,C,fact_02,3,4.0,0.0,4.22,4.22,6.744999999999999,0.05,-0.211,3.66275
debate3,C,fact_02,4,3.0,-1.0,1.872,1.872,8.616999999999999,0.05,-1.0936,2.56915
debate3,C,fact_02,1,5.0,5.0,0.587,0.587,0.587,0.1,4.9413,4.9413
debate3,C,fact_02,2,4.0,-1.0,1.938,1.938,2.525,0.1,-1.1938,3.7475
debate3,C,fact_02,3,4.0,0.0,4.22,4.22,6.744999999999999,0.1,-0.422,3.3255
debate3,C,fact_02,4,3.0,-1.0,1.872,1.872,8.616999999999999,0.1,-1.1872,2.1383
debate3,C,fact_02,1,5.0,5.0,0.587,0.587,0.587,0.2,4.8826,4.8826
debate3,C,fact_02,2,4.0,-1.0,1.938,1.938,2.525,0.2,-1.3876,3.495
debate3,C,fact_02,3,4.0,0.0,4.22,4.22,6.744999999999999,0.2,-0.844,2.651
debate3,C,fact_02,4,3.0,-1.0,1.872,1.872,8.616999999999999,0.2,-1.3744,1.2766000000000002
debate3,C,fact_02,1,5.0,5.0,0.587,0.587,0.587,0.5,4.7065,4.7065
debate3,C,fact_02,2,4.0,-1.0,1.938,1.938,2.525,0.5,-1.9689999999999999,2.7375
debate3,C,fact_02,3,4.0,0.0,4.22,4.22,6.744999999999999,0.5,-2.11,0.6275000000000004
debate3,C,fact_02,4,3.0,-1.0,1.872,1.872,8.616999999999999,0.5,-1.936,-1.3084999999999996
debate3,C,fact_03,1,4.0,4.0,1.12,1.12,1.12,0.0,4.0,4.0
debate3,C,fact_03,2,3.0,-1.0,2.942,2.942,4.062,0.0,-1.0,3.0
debate3,C,fact_03,3,3.0,0.0,5.213,5.213,9.275,0.0,0.0,3.0
debate3,C,fact_03,4,4.0,1.0,1.617,1.617,10.892,0.0,1.0,4.0
debate3,C,fact_03,1,4.0,4.0,1.12,1.12,1.12,0.05,3.944,3.944
debate3,C,fact_03,2,3.0,-1.0,2.942,2.942,4.062,0.05,-1.1471,2.7969
debate3,C,fact_03,3,3.0,0.0,5.213,5.213,9.275,0.05,-0.26065,2.53625
debate3,C,fact_03,4,4.0,1.0,1.617,1.617,10.892,0.05,0.91915,3.4554
debate3,C,fact_03,1,4.0,4.0,1.12,1.12,1.12,0.1,3.888,3.888
debate3,C,fact_03,2,3.0,-1.0,2.942,2.942,4.062,0.1,-1.2942,2.5938
debate3,C,fact_03,3,3.0,0.0,5.213,5.213,9.275,0.1,-0.5213,2.0725
debate3,C,fact_03,4,4.0,1.0,1.617,1.617,10.892,0.1,0.8383,2.9108
debate3,C,fact_03,1,4.0,4.0,1.12,1.12,1.12,0.2,3.776,3.776
debate3,C,fact_03,2,3.0,-1.0,2.942,2.942,4.062,0.2,-1.5884,2.1875999999999998
debate3,C,fact_03,3,3.0,0.0,5.213,5.213,9.275,0.2,-1.0426,1.1449999999999998
debate3,C,fact_03,4,4.0,1.0,1.617,1.617,10.892,0.2,0.6766,1.8216
debate3,C,fact_03,1,4.0,4.0,1.12,1.12,1.12,0.5,3.44,3.44
debate3,C,fact_03,2,3.0,-1.0,2.942,2.942,4.062,0.5,-2.471,0.9689999999999999
debate3,C,fact_03,3,3.0,0.0,5.213,5.213,9.275,0.5,-2.6065,-1.6375000000000002
debate3,C,fact_03,4,4.0,1.0,1.617,1.617,10.892,0.5,0.1915,-1.4459999999999997
debate3,C,fact_04,1,5.0,5.0,0.62,0.62,0.62,0.0,5.0,5.0
debate3,C,fact_04,2,4.0,-1.0,1.337,1.337,1.9569999999999999,0.0,-1.0,4.0
debate3,C,fact_04,3,4.0,0.0,1.881,1.881,3.838,0.0,0.0,4.0
debate3,C,fact_04,1,5.0,5.0,0.62,0.62,0.62,0.05,4.969,4.969
debate3,C,fact_04,2,4.0,-1.0,1.337,1.337,1.9569999999999999,0.05,-1.06685,3.90215
debate3,C,fact_04,3,4.0,0.0,1.881,1.881,3.838,0.05,-0.09405000000000001,3.8081
debate3,C,fact_04,1,5.0,5.0,0.62,0.62,0.62,0.1,4.938,4.938
debate3,C,fact_04,2,4.0,-1.0,1.337,1.337,1.9569999999999999,0.1,-1.1337,3.8043
debate3,C,fact_04,3,4.0,0.0,1.881,1.881,3.838,0.1,-0.18810000000000002,3.6162
debate3,C,fact_04,1,5.0,5.0,0.62,0.62,0.62,0.2,4.876,4.876
debate3,C,fact_04,2,4.0,-1.0,1.337,1.337,1.9569999999999999,0.2,-1.2674,3.6086
debate3,C,fact_04,3,4.0,0.0,1.881,1.881,3.838,0.2,-0.37620000000000003,3.2324
debate3,C,fact_04,1,5.0,5.0,0.62,0.62,0.62,0.5,4.69,4.69
debate3,C,fact_04,2,4.0,-1.0,1.337,1.337,1.9569999999999999,0.5,-1.6684999999999999,3.0215
debate3,C,fact_04,3,4.0,0.0,1.881,1.881,3.838,0.5,-0.9405,2.081
debate3,C,fact_05,1,4.0,4.0,1.504,1.504,1.504,0.0,4.0,4.0
debate3,C,fact_05,2,4.0,0.0,3.072,3.072,4.5760000000000005,0.0,0.0,4.0
debate3,C,fact_05,3,4.0,0.0,3.922,3.922,8.498000000000001,0.0,0.0,4.0
debate3,C,fact_05,1,4.0,4.0,1.504,1.504,1.504,0.05,3.9248,3.9248
debate3,C,fact_05,2,4.0,0.0,3.072,3.072,4.5760000000000005,0.05,-0.15360000000000001,3.7712
debate3,C,fact_05,3,4.0,0.0,3.922,3.922,8.498000000000001,0.05,-0.19610000000000002,3.5751
debate3,C,fact_05,1,4.0,4.0,1.504,1.504,1.504,0.1,3.8496,3.8496
debate3,C,fact_05,2,4.0,0.0,3.072,3.072,4.5760000000000005,0.1,-0.30720000000000003,3.5423999999999998
debate3,C,fact_05,3,4.0,0.0,3.922,3.922,8.498000000000001,0.1,-0.39220000000000005,3.1502
debate3,C,fact_05,1,4.0,4.0,1.504,1.504,1.504,0.2,3.6992,3.6992
debate3,C,fact_05,2,4.0,0.0,3.072,3.072,4.5760000000000005,0.2,-0.6144000000000001,3.0848
debate3,C,fact_05,3,4.0,0.0,3.922,3.922,8.498000000000001,0.2,-0.7844000000000001,2.3004
debate3,C,fact_05,1,4.0,4.0,1.504,1.504,1.504,0.5,3.248,3.248
debate3,C,fact_05,2,4.0,0.0,3.072,3.072,4.5760000000000005,0.5,-1.536,1.7119999999999997
debate3,C,fact_05,3,4.0,0.0,3.922,3.922,8.498000000000001,0.5,-1.961,-0.24900000000000055
debate3,C,tech_01,1,3.0,3.0,6.13,6.13,6.13,0.0,3.0,3.0
debate3,C,tech_01,2,3.0,0.0,2.806,2.806,8.936,0.0,0.0,3.0
debate3,C,tech_01,3,4.0,1.0,1.014,1.014,9.95,0.0,1.0,4.0
debate3,C,tech_01,1,3.0,3.0,6.13,6.13,6.13,0.05,2.6935000000000002,2.6935000000000002
debate3,C,tech_01,2,3.0,0.0,2.806,2.806,8.936,0.05,-0.1403,2.5532
debate3,C,tech_01,3,4.0,1.0,1.014,1.014,9.95,0.05,0.9493,3.5025
debate3,C,tech_01,1,3.0,3.0,6.13,6.13,6.13,0.1,2.387,2.387
debate3,C,tech_01,2,3.0,0.0,2.806,2.806,8.936,0.1,-0.2806,2.1064
debate3,C,tech_01,3,4.0,1.0,1.014,1.014,9.95,0.1,0.8986,3.005
debate3,C,tech_01,1,3.0,3.0,6.13,6.13,6.13,0.2,1.774,1.774
debate3,C,tech_01,2,3.0,0.0,2.806,2.806,8.936,0.2,-0.5612,1.2127999999999999
debate3,C,tech_01,3,4.0,1.0,1.014,1.014,9.95,0.2,0.7972,2.01
debate3,C,tech_01,1,3.0,3.0,6.13,6.13,6.13,0.5,-0.06499999999999995,-0.06499999999999995
debate3,C,tech_01,2,3.0,0.0,2.806,2.806,8.936,0.5,-1.403,-1.468
debate3,C,tech_01,3,4.0,1.0,1.014,1.014,9.95,0.5,0.493,-0.9749999999999996
debate3,C,tech_02,1,4.0,4.0,3.795,3.795,3.795,0.0,4.0,4.0
debate3,C,tech_02,2,4.0,0.0,6.43,6.43,10.225,0.0,0.0,4.0
debate3,C,tech_02,3,4.0,0.0,0.977,0.977,11.202,0.0,0.0,4.0
debate3,C,tech_02,1,4.0,4.0,3.795,3.795,3.795,0.05,3.81025,3.81025
debate3,C,tech_02,2,4.0,0.0,6.43,6.43,10.225,0.05,-0.3215,3.48875
debate3,C,tech_02,3,4.0,0.0,0.977,0.977,11.202,0.05,-0.048850000000000005,3.4398999999999997
debate3,C,tech_02,1,4.0,4.0,3.795,3.795,3.795,0.1,3.6205,3.6205
debate3,C,tech_02,2,4.0,0.0,6.43,6.43,10.225,0.1,-0.643,2.9775
debate3,C,tech_02,3,4.0,0.0,0.977,0.977,11.202,0.1,-0.09770000000000001,2.8798
debate3,C,tech_02,1,4.0,4.0,3.795,3.795,3.795,0.2,3.241,3.241
debate3,C,tech_02,2,4.0,0.0,6.43,6.43,10.225,0.2,-1.286,1.955
debate3,C,tech_02,3,4.0,0.0,0.977,0.977,11.202,0.2,-0.19540000000000002,1.7595999999999998
